iter	Passed	Remaining
165	546	2746
166	549	2742
167	553	2739
168	555	2733
169	559	2731
170	562	2728
171	565	2723
172	568	2719
173	572	2715
174	575	2711
175	578	2706
176	581	2703
177	584	2699
178	587	2694
179	590	2691
180	594	2688
181	597	2685
182	600	2680
183	603	2677
184	606	2673
185	609	2668
186	613	2665
187	616	2662
188	619	2658
189	622	2655
190	625	2650
191	628	2646
192	631	2642
193	634	2637
194	637	2633
195	640	2628
196	643	2624
197	646	2620
198	650	2618
199	653	2615
200	656	2611
201	660	2607
202	663	2603
203	666	2600
204	669	2596
205	672	2592
206	675	2588
207	678	2585
208	682	2581
209	685	2577
210	688	2573
211	691	2569
212	694	2566
213	697	2563
214	701	2559
215	704	2556
216	707	2551
217	710	2549
218	713	2545
219	717	2542
220	720	2538
221	723	2533
222	741	2584
223	744	2580
224	748	2576
225	751	2572
226	754	2568
227	757	2563
228	760	2561
229	764	2558
230	767	2554
231	770	2551
232	773	2546
233	777	2543
234	780	2539
235	783	2535
236	786	2532
237	789	2528
238	792	2524
239	795	2520
240	798	2516
241	801	2511
242	805	2509
243	810	2510
244	813	2507
245	817	2505
246	820	2501
247	824	2499
248	827	2495
249	830	2492
250	833	2488
251	836	2484
252	840	2480
253	843	2476
254	846	2473
255	849	2468
256	852	2465
257	855	2460
258	859	2457
259	862	2454
260	865	2451
261	868	2447
262	871	2443
263	875	2439
264	878	2437
265	881	2432
266	885	2429
267	887	2425
268	891	2422
269	894	2417
270	897	2413
271	900	2409
272	903	2405
273	906	2402
274	909	2398
275	913	2394
276	916	2391
277	919	2387
278	922	2384
279	926	2382
280	930	2379
281	933	2376
282	936	2372
283	939	2368
284	942	2364
285	945	2361
286	948	2357
287	952	2353
288	955	2350
289	958	2346
290	961	2342
291	964	2338
292	967	2334
293	970	2331
294	974	2328
295	977	2324
296	980	2320
297	983	2317
298	986	2313
299	990	2310
300	993	2306
301	996	2302
302	999	2299
303	1002	2295
304	1005	2292
305	1008	2288
306	1012	2284
307	1015	2281
308	1018	2278
309	1022	2275
310	1025	2271
311	1028	2268
312	1032	2265
313	1035	2262
314	1038	2258
315	1041	2254
316	1044	2250
317	1047	2247
318	1051	2244
319	1054	2241
320	1057	2237
321	1061	2234
322	1064	2230
323	1067	2226
324	1070	2223
325	1073	2220
326	1077	2216
327	1080	2213
328	1083	2210
329	1087	2207
330	1090	2203
331	1093	2199
332	1096	2196
333	1099	2192
334	1102	2189
335	1106	2185
336	1109	2182
337	1112	2178
338	1115	2175
339	1119	2172
340	1122	2169
341	1125	2166
342	1129	2162
343	1132	2159
344	1135	2156
345	1139	2153
346	1142	2150
347	1145	2146
348	1148	2143
349	1152	2140
350	1155	2136
351	1158	2133
352	1161	2129
353	1164	2125
354	1183	2149
355	1187	2147
356	1190	2144
357	1193	2140
358	1196	2136
359	1200	2133
360	1203	2130
361	1206	2126
362	1209	2122
363	1212	2118
364	1215	2114
365	1219	2111
366	1222	2107
367	1225	2104
368	1228	2101
369	1231	2097
370	1234	2093
371	1237	2089
372	1240	2085
373	1244	2082
374	1247	2078
375	1250	2075
376	1253	2071
377	1256	2068
378	1259	2064
379	1262	2060
380	1266	2057
381	1269	2053
382	1272	2050
383	1275	2046
384	1279	2043
385	1282	2039
386	1285	2036
387	1288	2032
388	1291	2029
389	1295	2025
390	1298	2021
391	1301	2018
392	1305	2015
393	1308	2011
394	1311	2008
395	1314	2004
396	1317	2001
397	1320	1998
398	1324	1994
399	1327	1991
400	1330	1987
401	1333	1984
402	1337	1980
403	1340	1977
404	1343	1974
405	1346	1970
406	1350	1967
407	1353	1964
408	1356	1960
409	1360	1957
410	1363	1953
411	1366	1950
412	1370	1947
413	1372	1943
414	1376	1939
415	1379	1936
416	1382	1932
417	1385	1929
418	1388	1925
419	1391	1921
420	1394	1917
421	1397	1914
422	1401	1911
423	1404	1907
424	1407	1904
425	1410	1900
426	1413	1896
427	1416	1893
428	1419	1889
429	1422	1886
430	1425	1882
431	1428	1878
432	1432	1875
433	1435	1871
434	1438	1868
435	1458	1886
436	1461	1882
437	1464	1879
438	1467	1875
439	1470	1872
440	1473	1868
441	1477	1864
442	1480	1861
443	1483	1857
444	1488	1855
445	1491	1852
446	1494	1848
447	1497	1845
448	1500	1841
449	1503	1838
450	1507	1834
451	1510	1831
452	1513	1828
453	1517	1824
454	1520	1821
455	1523	1817
456	1526	1813
457	1529	1810
458	1532	1806
459	1536	1803
460	1539	1799
461	1542	1796
462	1545	1792
463	1548	1789
464	1552	1785
465	1555	1782
466	1558	1778
467	1561	1774
468	1564	1771
469	1567	1767
470	1570	1764
471	1574	1760
472	1577	1757
473	1580	1753
474	1583	1750
475	1586	1746
476	1589	1742
477	1592	1739
478	1596	1736
479	1599	1732
480	1602	1729
481	1605	1725
482	1608	1721
483	1612	1718
484	1615	1715
485	1618	1711
486	1621	1708
487	1624	1704
488	1628	1701
489	1631	1697
490	1634	1694
491	1637	1690
492	1640	1687
493	1644	1684
494	1647	1680
495	1650	1677
496	1653	1673
497	1656	1670
498	1660	1666
499	1663	1663
500	1666	1659
501	1669	1656
502	1672	1652
503	1676	1649
504	1678	1645
505	1682	1642
506	1685	1638
507	1688	1635
508	1691	1631
509	1694	1628
510	1697	1624
511	1700	1621
512	1704	1617
513	1707	1614
514	1710	1610
515	1713	1607
516	1732	1618
517	1735	1615
518	1748	1620
519	1751	1616
520	1754	1612
521	1757	1609
522	1760	1605
523	1763	1602
524	1766	1598
525	1769	1594
526	1772	1591
527	1776	1587
528	1779	1584
529	1782	1580
530	1785	1577
531	1788	1573
532	1793	1571
533	1796	1567
534	1799	1564
535	1803	1561
536	1807	1558
537	1810	1555
538	1814	1551
539	1817	1548
540	1820	1544
541	1823	1541
542	1826	1537
543	1830	1534
544	1833	1530
545	1836	1526
546	1839	1523
547	1842	1519
548	1846	1516
549	1848	1512
550	1852	1509
551	1855	1505
552	1858	1502
553	1862	1499
554	1864	1495
555	1868	1492
556	1871	1488
557	1874	1484
558	1877	1481
559	1880	1477
560	1883	1474
561	1886	1470
562	1889	1467
563	1892	1463
564	1896	1459
565	1899	1456
566	1902	1452
567	1905	1449
568	1908	1445
569	1911	1442
570	1915	1438
571	1918	1435
572	1921	1431
573	1924	1428
574	1927	1424
575	1931	1421
576	1934	1418
577	1937	1414
578	1940	1411
579	1944	1407
580	1947	1404
581	1950	1400
582	1953	1396
583	1956	1393
584	1959	1390
585	1962	1386
586	1966	1383
587	1969	1379
588	1972	1376
589	1975	1373
590	1979	1369
591	1982	1366
592	1985	1362
593	1988	1359
594	1992	1355
595	1995	1352
596	1998	1349
597	2001	1345
598	2004	1342
599	2008	1338
600	2011	1335
601	2014	1331
602	2017	1328
603	2021	1325
604	2024	1321
605	2027	1318
606	2030	1314
607	2033	1311
608	2037	1307
609	2040	1304
610	2043	1301
611	2046	1297
612	2049	1294
613	2053	1290
614	2056	1287
615	2059	1283
616	2062	1280
617	2065	1276
618	2069	1273
619	2072	1270
620	2075	1266
621	2078	1263
622	2081	1259
623	2085	1256
624	2088	1252
625	2091	1249
626	2094	1245
627	2097	1242
628	2102	1239
629	2105	1236
630	2108	1232
631	2111	1229
632	2114	1225
633	2117	1222
634	2120	1218
635	2123	1215
636	2126	1211
637	2130	1208
638	2133	1205
639	2136	1201
640	2139	1198
641	2142	1194
642	2146	1191
643	2149	1188
644	2152	1184
645	2155	1181
646	2158	1177
647	2162	1174
648	2165	1171
649	2169	1167
650	2172	1164
651	2175	1161
652	2178	1157
653	2181	1154
654	2185	1150
655	2188	1147
656	2191	1143
657	2194	1140
658	2197	1136
659	2200	1133
660	2203	1130
661	2206	1126
662	2209	1123
663	2212	1119
664	2216	1116
665	2219	1112
666	2222	1109
667	2225	1106
668	2228	1102
669	2231	1099
670	2234	1095
671	2238	1092
672	2241	1089
673	2244	1085
674	2247	1082
675	2250	1078
676	2254	1075
677	2257	1072
678	2260	1068
679	2263	1065
680	2266	1061
681	2269	1058
682	2272	1054
683	2276	1051
684	2279	1048
685	2282	1044
686	2285	1041
687	2288	1038
688	2291	1034
689	2294	1031
690	2298	1027
691	2301	1024
692	2304	1020
693	2307	1017
694	2311	1014
695	2314	1010
696	2317	1007
697	2320	1004
698	2323	1000
699	2327	997
700	2330	993
701	2333	990
702	2336	987
703	2339	983
704	2342	980
705	2345	976
706	2349	973
707	2352	970
708	2355	966
709	2359	963
710	2362	960
711	2365	956
712	2369	953
713	2372	950
714	2375	946
715	2378	943
716	2382	940
717	2385	936
718	2403	939
719	2406	935
720	2409	932
721	2412	928
722	2415	925
723	2418	922
724	2422	918
725	2434	918
726	2437	915
727	2440	911
728	2443	908
729	2446	904
730	2449	901
731	2465	902
732	2468	899
733	2471	895
734	2474	892
735	2477	888
736	2480	885
737	2483	881
738	2487	878
739	2490	874
740	2493	871
741	2496	868
742	2499	864
743	2503	861
744	2506	857
745	2509	854
746	2526	855
747	2529	852
748	2532	848
749	2535	845
750	2538	841
751	2541	838
752	2546	835
753	2549	831
754	2552	828
755	2555	824
756	2558	821
757	2561	817
758	2564	814
759	2568	811
760	2587	812
761	2590	809
762	2593	805
763	2596	802
764	2600	798
765	2603	795
766	2606	791
767	2617	790
768	2620	787
769	2623	783
770	2627	780
771	2630	776
772	2633	773
773	2636	769
774	2639	766
775	2642	762
776	2646	759
777	2649	755
778	2652	752
779	2663	751
780	2666	747
781	2669	744
782	2672	740
783	2678	737
784	2681	734
785	2685	731
786	2688	727
787	2691	724
788	2695	720
789	2698	717
790	2701	713
791	2704	710
792	2707	706
793	2710	703
794	2713	699
795	2716	696
796	2719	692
797	2722	689
798	2726	685
799	2729	682
800	2732	678
801	2736	675
802	2739	672
803	2742	668
804	2745	665
805	2748	661
806	2751	658
807	2755	654
808	2758	651
809	2761	647
810	2764	644
811	2767	640
812	2770	637
813	2774	633
814	2777	630
815	2781	627
816	2784	623
817	2788	620
818	2792	617
819	2795	613
820	2798	610
821	2802	606
822	2805	603
823	2815	601
824	2819	597
825	2821	594
826	2825	591
827	2828	587
828	2831	584
829	2835	580
830	2837	577
831	2841	573
832	2844	570
833	2847	566
834	2850	563
835	2853	559
836	2856	556
837	2860	552
838	2863	549
839	2866	545
840	2869	542
841	2872	539
842	2875	535
843	2879	532
844	2881	528
845	2884	525
846	2887	521
847	2891	518
848	2894	514
849	2898	511
850	2901	507
851	2904	504
852	2907	501
853	2923	499
854	2926	496
855	2929	492
856	2932	489
857	2935	485
858	2938	482
859	2941	478
860	2944	475
861	2947	471
862	2950	468
863	2954	464
864	2957	461
865	2960	458
866	2963	454
867	2966	451
868	2969	447
869	2972	444
870	2975	440
871	2978	437
872	2982	433
873	2986	430
874	2989	427
875	2992	423
876	2995	420
877	2999	416
878	3002	413
879	3005	409
880	3008	406
881	3011	402
882	3014	399
883	3017	396
884	3021	392
885	3024	389
886	3027	385
887	3032	382
888	3036	379
889	3039	375
890	3042	372
891	3045	368
892	3048	365
893	3052	361
894	3055	358
895	3058	354
896	3061	351
897	3064	348
898	3067	344
899	3070	341
900	3074	337
901	3077	334
902	3080	330
903	3083	327
904	3087	324
905	3090	320
906	3093	317
907	3096	313
908	3099	310
909	3103	306
910	3106	303
911	3110	300
912	3113	296
913	3116	293
914	3120	289
915	3123	286
916	3126	283
917	3129	279
918	3132	276
919	3136	272
920	3139	269
921	3142	265
922	3145	262
923	3148	258
924	3151	255
925	3154	252
926	3157	248
927	3160	245
928	3163	241
929	3167	238
930	3170	234
931	3173	231
932	3176	228
933	3179	224
934	3182	221
935	3185	217
936	3188	214
937	3191	210
938	3195	207
939	3198	204
940	3201	200
941	3204	197
942	3208	193
943	3211	190
944	3214	187
945	3217	183
946	3220	180
947	3223	176
948	3227	173
949	3230	170
950	3233	166
951	3236	163
952	3239	159
953	3242	156
954	3245	152
955	3249	149
956	3252	146
957	3255	142
958	3258	139
959	3261	135
960	3264	132
961	3268	129
962	3271	125
963	3274	122
964	3277	118
965	3280	115
966	3284	112
967	3287	108
968	3290	105
969	3293	101
970	3296	98
971	3299	95
972	3303	91
973	3306	88
974	3310	84
975	3313	81
976	3316	78
977	3320	74
978	3323	71
979	3326	67
980	3329	64
981	3332	61
982	3350	57
983	3353	54
984	3356	51
985	3359	47
986	3362	44
987	3366	40
988	3369	37
989	3372	34
990	3375	30
991	3378	27
992	3382	23
993	3385	20
994	3388	17
995	3391	13
996	3394	10
997	3397	6
998	3400	3
999	3403	0
