iter	RMSE
535	0.1036117202
536	0.1035756853
537	0.1035018874
538	0.1034576164
539	0.1033846437
540	0.1033194023
541	0.1032712124
542	0.1032082883
543	0.1031675385
544	0.1031055117
545	0.1030108058
546	0.1029580273
547	0.1028906356
548	0.1028332936
549	0.102764692
550	0.1027300824
551	0.1026758385
552	0.1026206595
553	0.1025619711
554	0.1025117495
555	0.1024521294
556	0.1024080293
557	0.1023583296
558	0.102309563
559	0.1022884904
560	0.1022352733
561	0.1021687497
562	0.1020984125
563	0.1020314581
564	0.1019726879
565	0.1019236253
566	0.1018776769
567	0.1018328707
568	0.1017641924
569	0.1017327302
570	0.1016673389
571	0.1016096158
572	0.1015477422
573	0.1015039624
574	0.1014456284
575	0.1013979696
576	0.1013382866
577	0.1013043901
578	0.1012661243
579	0.1012106241
580	0.1011695378
581	0.1011328684
582	0.1011066631
583	0.101049947
584	0.1009889417
585	0.1009109576
586	0.1008625913
587	0.1008153287
588	0.1007749514
589	0.1007219127
590	0.1006818295
591	0.1006078904
592	0.1005815517
593	0.1005549589
594	0.1005010216
595	0.1004445924
596	0.100382406
597	0.1003324348
598	0.1002686899
599	0.1001778868
600	0.1001294231
601	0.1000798636
602	0.1000183399
603	0.09997710004
604	0.09990821473
605	0.09988363177
606	0.09982139754
607	0.09977221805
608	0.09973538412
609	0.09966003175
610	0.09960477206
611	0.0995432643
612	0.09949083859
613	0.09942213807
614	0.09937633322
615	0.09933663539
616	0.09928611492
617	0.09920573658
618	0.0991591169
619	0.09910985135
620	0.09906025617
621	0.09902251809
622	0.09895317137
623	0.09890979635
624	0.09884457687
625	0.09878988866
626	0.09874334247
627	0.09871128486
628	0.098647189
629	0.09858013623
630	0.09856081474
631	0.09851225292
632	0.0984769259
633	0.09842396466
634	0.09836225019
635	0.09829376136
636	0.09822680711
637	0.09818068068
638	0.09810223739
639	0.09805549978
640	0.09800427841
641	0.09794420157
642	0.09788647768
643	0.09785814481
644	0.09782240722
645	0.09777380523
646	0.09774453763
647	0.09768756702
648	0.09764214867
649	0.09758844145
650	0.09756580716
651	0.09753037074
652	0.0974809827
653	0.09739998986
654	0.09735536374
655	0.09732212117
656	0.0972765562
657	0.09723111003
658	0.09718390375
659	0.09712783268
660	0.09710193945
661	0.09704070059
662	0.09699903988
663	0.09697938029
664	0.0969248028
665	0.09688547968
666	0.0968543302
667	0.09680197938
668	0.09674375089
669	0.09668836363
670	0.09663525801
671	0.09658088248
672	0.09652689918
673	0.09650850566
674	0.09646969921
675	0.09644898345
676	0.09641812879
677	0.09637057592
678	0.09632972846
679	0.09629641088
680	0.0962628925
681	0.09623400354
682	0.09618607604
683	0.09612488834
684	0.09606182155
685	0.09602358755
686	0.09599975515
687	0.09595801121
688	0.0959040428
689	0.09584625187
690	0.09578485465
691	0.0957679428
692	0.0957271417
693	0.09568826415
694	0.09562245199
695	0.09557022909
696	0.09553910995
697	0.09549722842
698	0.09543373011
699	0.09539971333
700	0.09536105496
701	0.09530589121
702	0.09526642739
703	0.09522053855
704	0.09514507784
705	0.09509846375
706	0.09506529184
707	0.09503735804
708	0.09500762469
709	0.09497324979
710	0.09491782819
711	0.09487344699
712	0.09482299301
713	0.09480997852
714	0.09474125018
715	0.09468811825
716	0.09463928547
717	0.09460693297
718	0.0945755906
719	0.09454863353
720	0.0945106099
721	0.09448589031
722	0.09446227844
723	0.09443590883
724	0.09439519832
725	0.0943620909
726	0.09430453761
727	0.0942549121
728	0.09424655594
729	0.09418035174
730	0.0941475976
731	0.09411115752
732	0.094060061
733	0.09399526592
734	0.0939531562
735	0.09391258798
736	0.09386687395
737	0.09384500494
738	0.0938137501
739	0.09379582543
740	0.09376046953
741	0.09371155251
742	0.09368256115
743	0.09366032077
744	0.09364856746
745	0.09361967243
746	0.09357245902
747	0.0935334248
748	0.09350679742
749	0.09343073943
750	0.0933789153
751	0.0933174747
752	0.0932585686
753	0.09321795395
754	0.09320309906
755	0.09314918739
756	0.09309584663
757	0.09307832418
758	0.09304011394
759	0.09299142347
760	0.09293622081
761	0.09290277391
762	0.09286752723
763	0.09282484605
764	0.09280673699
765	0.09276364077
766	0.0927047687
767	0.09268471441
768	0.09265115617
769	0.09261431845
770	0.092554051
771	0.09250389213
772	0.09248636281
773	0.09247324466
774	0.09244604321
775	0.09240661212
776	0.09237706503
777	0.09234297784
778	0.09228111875
779	0.09225064511
780	0.09219783308
781	0.09214847914
782	0.09212292079
783	0.09209228406
784	0.09203570992
785	0.09199850956
786	0.09198256979
787	0.09194413471
788	0.09192801388
789	0.09188000207
790	0.09186311489
791	0.0918462514
792	0.09178411737
793	0.0917632537
794	0.09170387542
795	0.09169774385
796	0.09162499562
797	0.09160046631
798	0.09155331032
799	0.09152208558
800	0.09148689201
801	0.09147423369
802	0.09145615935
803	0.09141459463
804	0.09137099033
805	0.09134443791
806	0.09129285169
807	0.09126930667
808	0.09125371237
809	0.09122361467
810	0.09117600225
811	0.09115579353
812	0.09112869617
813	0.09110934835
814	0.09109154469
815	0.09103751852
816	0.09101104393
817	0.09097917995
818	0.09095121247
819	0.09094317947
820	0.09093205996
821	0.09090536796
822	0.09088989059
823	0.09084307091
824	0.09082915097
825	0.09076119813
826	0.0907483582
827	0.09071225315
828	0.09069199414
829	0.09067334081
830	0.09061302475
831	0.09058596632
832	0.09055711963
833	0.0905119923
834	0.09048143594
835	0.0904689763
836	0.09043983771
837	0.09042909661
838	0.09038204399
839	0.09035925254
840	0.09034525766
841	0.09030845974
842	0.09029570079
843	0.09027291269
844	0.0902239474
845	0.09020050491
846	0.09013150255
847	0.09010133512
848	0.09008483056
849	0.08999299956
850	0.08997373735
851	0.08995253066
852	0.08990904766
853	0.08989687491
854	0.08985769887
855	0.08979425488
856	0.08977866517
857	0.08973099547
858	0.08966983781
859	0.08965133561
860	0.0896360466
861	0.08962154933
862	0.08961131295
863	0.089595677
864	0.08958078056
865	0.08954771287
866	0.08951241896
867	0.08947314001
868	0.08944941819
869	0.08940532019
870	0.08938625961
871	0.08935781699
872	0.08931005526
873	0.08924694292
874	0.08920521405
875	0.08914597573
876	0.08907689976
877	0.08906481008
878	0.08904954819
879	0.08903409926
880	0.08900446366
881	0.08894645155
882	0.08893931137
883	0.08889652191
884	0.08887786226
885	0.08884772649
886	0.08883382577
887	0.08879367563
888	0.08877806008
889	0.08876589228
890	0.08873309154
891	0.08867023286
892	0.08860956594
893	0.08859144112
894	0.0885448295
895	0.08851027093
896	0.0884939778
897	0.08845866616
898	0.08844705166
899	0.0884074021
900	0.08836919276
901	0.08834299757
902	0.08832764305
903	0.08828169047
904	0.08822063836
905	0.08815571852
906	0.08813709781
907	0.08811101096
908	0.08806475523
909	0.08805764103
910	0.08802263446
911	0.08798337752
912	0.08790614273
913	0.08786701661
914	0.08784548863
915	0.08779875408
916	0.08775432588
917	0.08774332677
918	0.08773478353
919	0.08772479204
920	0.08770612128
921	0.08769717925
922	0.08768728305
923	0.08764506116
924	0.08762480786
925	0.08760693348
926	0.08759675242
927	0.0875548102
928	0.08750692504
929	0.08745773688
930	0.08740180725
931	0.08735818702
932	0.08734936764
933	0.08733478834
934	0.08730485112
935	0.08728837246
936	0.08724628121
937	0.08721722749
938	0.08717753145
939	0.08716009302
940	0.08711711306
941	0.08710832246
942	0.08709586574
943	0.08705358592
944	0.08703852356
945	0.08699177304
946	0.08693316552
947	0.08687009536
948	0.08686014809
949	0.08684276265
950	0.08680632227
951	0.0867650424
952	0.08671405776
953	0.08668091822
954	0.08664048958
955	0.08659381128
956	0.08658289473
957	0.08654254233
958	0.08650851234
959	0.08646530297
960	0.08642574117
961	0.08635574557
962	0.08634360574
963	0.08627213567
964	0.08622769261
965	0.08615785621
966	0.08611423799
967	0.08610403901
968	0.08607930621
969	0.08602591078
970	0.08599525776
971	0.08595093516
972	0.08591233994
973	0.08589184019
974	0.08584637407
975	0.08580252157
976	0.08574757156
977	0.08570525549
978	0.08567092425
979	0.08560211075
980	0.08558892666
981	0.08554769877
982	0.08550987215
983	0.08550308338
984	0.08546375262
985	0.08545324631
986	0.08539001828
987	0.08535133142
988	0.08533925283
989	0.0853104563
990	0.08527199839
991	0.08521120046
992	0.08516451155
993	0.08515147786
994	0.08514381936
995	0.08510573226
996	0.08506300514
997	0.08502156119
998	0.08497196992
999	0.08496169818
